c_personid,c_index_year,c_deathyear,c_notes
258,1045,1150,"27019, Rule 8."
1005,1070,1191,Rule 5.
3266,972,1073,"27091, Rule 14."
5240,1047,1152,Rule 1.
16019,887,994,"16017, Rule 14."
19759,938,1040,"19760, Rule 15."
20536,785,895,"179539, Rule 14."
21751,746,863,"21750, Rule 14."
25867,1136,1256,Rule 5.
27706,949,1151,"7093, Rule 4W."
28832,1096,1216,"28828, Rule 14."
28837,1036,1186,"28836, Rule 14."
29275,1202,1304,"29273, Rule 8."
29607,1269,1374,Rule 1.
29910,1080,1198,"29911, Rule 14."
31118,0,490,Rule 2.
31493,695,816,"31492, Rule 14."
35421,1222,1324,Rule 1.
31733,599,716,"31732, Rule 14."
31814,590,717,"31813, Rule 14."
32062,712,837,"32060, Rule 13."
32192,593,707,"26934, Rule 4W."
32531,150,621,"32530, Rule 14."
33114,756,858,"33111, Rule 14."
35010,1154,1265,"35006, Rule 19."
35184,1601,1708,"35183, Rule 8."
35278,1065,1208,"26229, Rule 8."
42894,1112,1276,"42892, Rule 11."
44393,714,1180,"30976, Rule 9."
50267,1085,1196,"19398, Rule 14."
54772,1800,1900,Rule 1.
55181,1800,1900,Rule 1.
58119,1738,1842,Rule 1.
58316,1784,1884,Rule 1.
58516,1687,1849,Rule 6.
68253,1450,1551,Rule 1.
71456,1659,1775,Rule 1.
77069,1606,1711,Rule 1.
77814,1596,1704,Rule 1.
79631,1783,1886,Rule 1.
83724,1671,1780,Rule 1.
86439,1591,1694,Rule 1.
87102,56,1853,Rule 5.
92401,643,805,"32966, Rule 13."
91917,695,818,"31494, Rule 15."
91936,781,892,Rule 1.
92235,778,897,Rule 1.
92308,629,737,"32005, Rule 14."
92379,614,720,Rule 1.
92784,581,682,Rule 1.
94146,606,706,Rule 1.
94150,872,976,Rule 1.
102926,1237,1337,Rule 1.
106418,1218,1321,Rule 1.
109726,1286,1389,Rule 1.
113591,1191,1292,Rule 1.
115963,1152,1268,Rule 1.
117884,1222,1324,Rule 1.
119218,1312,1436,Rule 1.
124051,1545,1941,Rule 6.
125000,1511,1616,Rule 5.
126991,1474,1586,Rule 1.
128610,1480,1583,Rule 1.
132128,1350,1521,Rule 1.
134865,8,349,Rule 1.
139353,574,674,Rule 1.
140761,622,739,"153042, Rule 19."
141318,689,795,"155743, Rule 14."
141489,670,816,"94549, Rule 4W."
141499,693,817,"151528, Rule 19."
141893,741,850,"159224, Rule 15."
142423,547,652,Rule 1.
142589,566,668,Rule 1.
143538,757,864,Rule 1.
143714,603,734,"138749, Rule 8."
145209,793,894,"175409, Rule 14."
145698,742,871,Rule 1.
145917,638,748,"194025, Rule 14."
145982,661,809,"176651, Rule 14."
146051,621,736,"193913, Rule 14."
146052,616,728,"142833, Rule 4W."
146103,689,798,"195068, Rule 14."
172118,612,713,"31816, Rule 14."
172128,612,713,"172127, Rule 14."
172129,642,750,"172128, Rule 14."
172130,672,787,"172129, Rule 14."
172131,672,787,"172129, Rule 14."
172134,612,713,"172133, Rule 14."
172135,642,750,"172134, Rule 14."
172136,672,787,"172135, Rule 14."
172137,672,787,"172135, Rule 14."
169474,751,854,"169883, Rule 14."
170733,678,778,"170732, Rule 14."
170741,678,778,"170740, Rule 14."
170742,708,815,"170741, Rule 14."
170744,678,778,"170743, Rule 14."
170746,678,778,"170745, Rule 14."
170747,678,778,"170745, Rule 14."
170748,678,778,"170745, Rule 14."
170749,678,778,"170745, Rule 14."
170750,678,778,"170745, Rule 14."
170817,678,778,"170816, Rule 14."
170818,678,778,"170816, Rule 14."
170821,678,778,"170820, Rule 14."
171098,554,670,"31978, Rule 14."
171099,584,707,"171098, Rule 14."
171100,584,707,"171098, Rule 14."
171101,584,707,"171098, Rule 14."
171188,636,737,"31995, Rule 14."
171203,636,737,"31995, Rule 14."
171240,698,802,"171239, Rule 14."
171242,698,802,"171239, Rule 14."
171716,786,895,"33114, Rule 14."
171835,482,723,"171761, Rule 15."
172138,672,787,"172135, Rule 14."
172139,702,824,"172138, Rule 14."
172142,612,713,"172141, Rule 14."
172178,612,713,"31818, Rule 14."
172290,591,691,"172289, Rule 14."
172291,621,728,"172290, Rule 14."
172292,651,765,"172291, Rule 14."
172293,681,802,"172292, Rule 14."
172294,591,691,"172289, Rule 14."
172295,621,728,"172294, Rule 14."
172297,591,691,"172296, Rule 14."
172298,621,728,"172297, Rule 14."
172300,591,691,"172299, Rule 14."
172301,621,728,"172300, Rule 14."
172302,651,765,"172301, Rule 14."
172303,681,802,"172302, Rule 14."
172304,591,691,"32752, Rule 14."
172305,621,728,"172304, Rule 14."
172306,621,728,"172304, Rule 14."
172307,591,694,"32752, Rule 14."
172308,621,731,"172307, Rule 14."
172316,886,990,"172315, Rule 14."
172319,886,990,"172318, Rule 14."
172323,591,781,"172322, Rule 14."
172324,621,818,"172323, Rule 14."
172325,651,855,"172324, Rule 14."
172326,681,892,"172325, Rule 14."
172759,806,906,"172758, Rule 14."
172760,836,943,"172759, Rule 14."
172764,798,906,"160418, Rule 14."
172765,828,943,"172764, Rule 14."
172766,828,943,"172764, Rule 14."
172914,808,909,"172913, Rule 14."
172934,758,864,"172933, Rule 14."
172935,788,901,"172934, Rule 14."
172936,818,938,"172935, Rule 14."
172937,848,975,"172936, Rule 14."
172938,878,1012,"172937, Rule 14."
172939,878,1012,"172937, Rule 14."
172940,878,1012,"172937, Rule 14."
172941,878,1012,"172937, Rule 14."
172948,758,864,"172947, Rule 14."
172950,758,864,"172949, Rule 14."
172951,788,901,"172950, Rule 14."
172952,788,901,"172950, Rule 14."
173034,915,1016,"173033, Rule 14."
173035,915,1016,"173033, Rule 14."
173168,669,770,"173167, Rule 14."
173179,702,807,"173178, Rule 14."
173180,732,844,"173179, Rule 14."
173181,762,881,"173180, Rule 14."
173182,792,918,"173181, Rule 14."
173183,822,955,"173182, Rule 14."
173184,852,992,"173183, Rule 14."
173185,852,992,"173183, Rule 14."
173186,852,992,"173183, Rule 14."
173187,852,992,"173183, Rule 14."
173188,822,955,"173182, Rule 14."
173189,852,992,"173188, Rule 14."
173190,852,992,"173188, Rule 14."
173191,762,881,"173180, Rule 14."
173192,762,881,"173180, Rule 14."
173193,702,807,"173178, Rule 14."
173194,702,807,"173178, Rule 14."
173367,471,571,"31127, Rule 15."
173378,531,645,"31127, Rule 14."
173379,561,682,"173378, Rule 14."
173380,591,719,"173379, Rule 14."
173390,471,571,"173366, Rule 14."
173391,501,608,"173390, Rule 14."
173392,531,645,"173391, Rule 14."
173393,561,682,"173392, Rule 14."
173394,561,682,"173392, Rule 14."
173395,531,645,"173391, Rule 14."
173403,644,745,"173402, Rule 14."
173404,644,745,"173402, Rule 14."
173405,674,782,"173404, Rule 14."
173406,644,745,"173402, Rule 14."
173407,674,782,"173406, Rule 14."
173410,644,745,"173409, Rule 14."
173446,614,726,"173438, Rule 14."
173449,644,763,"173446, Rule 14."
173450,674,800,"173449, Rule 14."
173451,674,800,"173449, Rule 14."
173452,704,837,"173451, Rule 14."
173453,704,837,"173451, Rule 14."
173454,674,800,"173449, Rule 14."
173455,644,763,"173446, Rule 14."
173574,644,745,"173573, Rule 14."
173584,644,745,"173583, Rule 14."
173585,674,782,"173584, Rule 14."
173586,704,819,"173585, Rule 14."
173592,644,745,"173591, Rule 14."
173593,674,782,"173592, Rule 14."
173594,704,819,"173593, Rule 14."
173595,704,819,"173593, Rule 14."
173596,674,782,"173592, Rule 14."
173597,704,819,"173596, Rule 14."
173598,734,856,"173597, Rule 14."
173599,704,819,"173596, Rule 14."
173604,644,745,"173603, Rule 14."
173605,674,782,"173604, Rule 14."
173606,644,745,"173603, Rule 14."
173607,674,782,"173606, Rule 14."
173614,644,745,"173613, Rule 14."
173615,644,745,"173613, Rule 14."
173616,674,782,"173615, Rule 14."
173617,704,819,"173616, Rule 14."
173618,704,819,"173616, Rule 14."
173619,704,819,"173616, Rule 14."
173620,704,819,"173616, Rule 14."
173621,674,782,"173615, Rule 14."
173622,674,782,"173615, Rule 14."
173624,674,782,"173615, Rule 14."
173625,674,782,"173615, Rule 14."
173626,674,782,"173615, Rule 14."
173627,704,819,"173626, Rule 14."
173639,584,687,"173638, Rule 14."
173640,584,687,"173638, Rule 14."
173641,614,724,"173640, Rule 14."
173643,614,724,"156200, Rule 14."
173644,614,724,"156200, Rule 14."
173645,644,761,"173644, Rule 14."
173646,644,761,"173644, Rule 14."
173647,614,724,"156200, Rule 14."
173648,644,761,"173647, Rule 14."
173649,674,798,"173648, Rule 14."
173650,584,687,"173638, Rule 14."
173651,584,687,"173638, Rule 14."
173654,614,719,"173653, Rule 14."
173655,644,756,"173654, Rule 14."
173656,644,756,"173654, Rule 14."
173657,674,793,"173656, Rule 14."
173662,674,776,"173661, Rule 14."
173663,704,813,"173662, Rule 14."
173664,704,813,"173662, Rule 14."
173665,734,850,"173664, Rule 14."
173666,764,887,"173665, Rule 14."
173670,674,779,"173669, Rule 14."
173678,674,779,"173677, Rule 14."
173697,660,763,"173696, Rule 14."
173698,690,800,"173697, Rule 14."
173699,690,800,"173697, Rule 14."
173700,690,800,"173697, Rule 14."
173701,690,800,"173697, Rule 14."
173769,688,789,"173768, Rule 14."
173847,892,994,"173846, Rule 14."
174040,659,760,"174039, Rule 14."
174122,659,760,"174121, Rule 14."
174123,689,797,"174122, Rule 14."
174124,689,797,"174122, Rule 14."
174127,659,760,"174126, Rule 14."
174168,659,760,"174167, Rule 14."
174169,689,797,"174168, Rule 14."
174236,681,782,"174235, Rule 14."
174237,711,819,"174236, Rule 14."
174238,711,819,"174236, Rule 14."
174239,711,819,"174236, Rule 14."
174240,711,819,"174236, Rule 14."
174241,711,819,"174236, Rule 14."
174244,681,782,"174243, Rule 14."
174245,681,782,"174243, Rule 14."
174251,681,782,"174250, Rule 14."
174252,681,782,"174250, Rule 14."
174253,681,782,"174250, Rule 14."
174254,681,782,"174250, Rule 14."
174256,681,782,"174255, Rule 14."
174257,681,782,"174255, Rule 14."
174258,681,782,"174255, Rule 14."
174283,681,782,"174282, Rule 14."
174284,681,782,"174282, Rule 14."
174286,681,782,"174285, Rule 14."
174287,711,819,"174286, Rule 14."
174288,711,819,"174286, Rule 14."
174289,711,819,"174286, Rule 14."
174291,681,782,"174285, Rule 14."
174305,681,782,"174304, Rule 14."
174308,681,782,"174307, Rule 14."
174309,681,782,"174307, Rule 14."
174314,681,782,"174313, Rule 14."
174492,692,794,"174491, Rule 14."
174494,692,794,"174493, Rule 14."
174524,691,792,"174523, Rule 14."
174525,691,792,"174523, Rule 14."
174526,721,829,"174525, Rule 14."
174527,751,866,"174526, Rule 14."
174528,781,903,"174527, Rule 14."
174529,751,866,"174526, Rule 14."
174530,721,829,"174525, Rule 14."
174531,721,829,"174525, Rule 14."
174532,721,829,"174525, Rule 14."
174533,721,829,"174525, Rule 14."
174534,721,829,"174525, Rule 14."
174535,751,866,"174534, Rule 14."
174536,691,792,"174523, Rule 14."
174537,721,829,"174536, Rule 14."
174538,721,829,"174536, Rule 14."
174539,721,829,"174536, Rule 14."
174540,721,829,"174536, Rule 14."
174543,691,792,"174542, Rule 14."
174544,721,829,"174543, Rule 14."
174545,721,829,"174543, Rule 14."
174546,721,829,"174543, Rule 14."
174547,721,829,"174543, Rule 14."
174548,721,829,"174543, Rule 14."
174549,721,829,"174543, Rule 14."
174550,721,829,"174543, Rule 14."
174551,691,792,"174542, Rule 14."
174552,721,829,"174551, Rule 14."
174553,721,829,"174551, Rule 14."
174554,721,829,"174551, Rule 14."
174555,721,829,"174551, Rule 14."
174558,691,792,"174557, Rule 14."
174560,691,792,"174559, Rule 14."
174561,721,829,"174560, Rule 14."
174563,691,792,"174562, Rule 14."
174564,691,792,"174562, Rule 14."
174565,691,792,"174562, Rule 14."
174569,691,792,"174568, Rule 14."
174582,691,792,"174581, Rule 14."
174583,691,792,"174581, Rule 14."
174585,691,792,"174584, Rule 14."
174586,691,792,"174584, Rule 14."
174589,691,792,"174588, Rule 14."
174590,691,792,"174588, Rule 14."
174734,691,792,"174733, Rule 14."
174844,691,792,"174843, Rule 14."
174846,691,792,"174845, Rule 14."
174847,721,829,"174846, Rule 14."
174848,751,866,"174847, Rule 14."
174849,721,829,"174846, Rule 14."
174850,691,792,"174845, Rule 14."
174851,721,829,"174850, Rule 14."
174852,691,792,"174845, Rule 14."
174853,721,829,"174852, Rule 14."
174854,691,792,"174845, Rule 14."
174855,721,829,"174854, Rule 14."
174856,721,829,"174854, Rule 14."
174857,721,829,"174854, Rule 14."
174859,691,792,"174858, Rule 14."
174870,691,792,"174869, Rule 14."
174871,691,792,"174869, Rule 14."
174874,691,792,"174873, Rule 14."
174875,691,792,"174873, Rule 14."
174895,691,792,"174894, Rule 14."
174896,691,792,"174894, Rule 14."
174897,721,829,"174896, Rule 14."
174898,721,829,"174896, Rule 14."
174899,691,792,"174894, Rule 14."
174900,721,829,"174899, Rule 14."
174906,691,792,"174905, Rule 14."
174907,721,829,"174906, Rule 14."
174908,721,829,"174906, Rule 14."
174909,721,829,"174906, Rule 14."
174911,691,792,"174910, Rule 14."
174912,691,792,"174910, Rule 14."
174914,691,792,"174913, Rule 14."
174915,691,792,"174913, Rule 14."
174955,691,792,"174954, Rule 14."
174957,691,792,"174956, Rule 14."
174958,691,792,"174956, Rule 14."
174959,691,792,"174956, Rule 14."
174962,691,792,"174961, Rule 14."
174963,691,792,"174961, Rule 14."
174964,691,792,"174961, Rule 14."
174969,691,792,"174968, Rule 14."
174970,691,792,"174968, Rule 14."
174973,691,792,"174972, Rule 14."
174974,721,829,"174973, Rule 14."
174976,691,792,"174975, Rule 14."
174977,691,792,"174975, Rule 14."
174982,691,792,"174981, Rule 14."
174983,691,792,"174981, Rule 14."
174984,691,792,"174981, Rule 14."
174985,721,829,"174984, Rule 14."
174986,751,866,"174985, Rule 14."
174987,691,792,"174981, Rule 14."
174988,721,829,"174987, Rule 14."
174989,691,792,"174981, Rule 14."
175073,660,761,"175067, Rule 14."
175074,690,798,"175073, Rule 14."
175075,660,761,"175067, Rule 14."
175076,690,798,"175075, Rule 14."
175077,720,835,"175076, Rule 14."
175078,750,872,"175077, Rule 14."
175079,750,872,"175077, Rule 14."
175080,750,872,"175077, Rule 14."
175081,780,909,"175080, Rule 14."
175082,690,798,"175075, Rule 14."
175083,660,761,"175067, Rule 14."
175084,690,798,"175083, Rule 14."
175085,720,835,"175084, Rule 14."
175087,660,761,"175086, Rule 14."
175088,690,798,"175087, Rule 14."
175096,660,761,"175086, Rule 14."
175098,660,761,"175097, Rule 14."
175099,660,761,"175097, Rule 14."
175100,660,761,"175097, Rule 14."
175101,690,798,"175100, Rule 14."
175102,660,761,"175097, Rule 14."
175104,660,761,"175103, Rule 14."
175105,660,761,"175103, Rule 14."
175111,660,761,"175110, Rule 14."
175112,690,798,"175111, Rule 14."
175113,720,835,"175112, Rule 14."
175114,720,835,"175112, Rule 14."
175249,524,698,"175250, Rule 15."
175250,554,735,"175251, Rule 15."
175251,584,772,"173660, Rule 15."
175252,614,809,"175251, Rule 14."
175253,644,846,"175252, Rule 14."
175254,644,846,"175252, Rule 14."
175255,644,846,"175252, Rule 14."
175256,644,846,"175252, Rule 14."
175257,674,883,"175256, Rule 14."
175316,809,910,"156048, Rule 14."
175317,839,947,"175316, Rule 14."
175357,703,807,"175356, Rule 14."
175358,703,807,"175356, Rule 14."
175360,703,807,"175359, Rule 14."
175361,703,807,"175359, Rule 14."
175363,703,807,"175362, Rule 14."
175364,703,807,"175362, Rule 14."
175366,703,807,"175365, Rule 14."
175367,703,807,"175365, Rule 14."
175368,733,844,"175367, Rule 14."
175369,733,844,"175367, Rule 14."
175403,793,894,"175402, Rule 14."
175405,793,894,"175404, Rule 14."
175406,793,894,"175404, Rule 14."
175410,793,894,"175409, Rule 14."
175411,823,931,"145209, Rule 14."
175412,853,968,"175411, Rule 14."
175413,853,968,"175411, Rule 14."
175414,853,968,"175411, Rule 14."
175415,823,931,"145209, Rule 14."
175416,823,931,"145209, Rule 14."
175417,853,968,"175416, Rule 14."
175418,823,931,"145209, Rule 14."
175419,793,894,"175409, Rule 14."
175420,793,894,"175409, Rule 14."
175422,793,894,"175421, Rule 14."
175423,793,894,"175421, Rule 14."
175424,793,894,"175421, Rule 14."
175426,793,894,"175425, Rule 14."
175427,793,894,"175425, Rule 14."
175428,793,894,"175425, Rule 14."
175429,793,894,"175425, Rule 14."
175430,793,894,"175425, Rule 14."
175431,793,894,"175425, Rule 14."
175432,793,894,"175425, Rule 14."
175434,793,894,"175433, Rule 14."
175435,823,931,"175434, Rule 14."
175436,793,894,"175433, Rule 14."
175437,793,894,"175433, Rule 14."
175438,823,931,"175437, Rule 14."
175439,823,931,"175437, Rule 14."
175440,823,931,"175437, Rule 14."
175723,763,868,"175722, Rule 14."
175724,793,905,"175723, Rule 14."
175822,715,821,"175818, Rule 14."
175823,745,858,"175822, Rule 14."
175824,775,895,"175823, Rule 14."
175825,805,932,"175824, Rule 14."
175826,775,895,"175823, Rule 14."
175827,805,932,"175826, Rule 14."
175846,673,778,"150489, Rule 14."
175847,673,778,"150489, Rule 14."
175848,673,778,"150489, Rule 14."
175849,673,778,"150489, Rule 14."
175850,673,778,"150489, Rule 14."
175880,621,724,"175881, Rule 9."
175903,686,806,"150808, Rule 14."
175904,716,843,"175903, Rule 14."
175924,783,888,"175923, Rule 14."
175952,697,816,"158493, Rule 14."
175953,727,853,"175952, Rule 14."
175954,757,890,"175953, Rule 14."
175955,787,927,"175954, Rule 14."
175956,787,927,"175954, Rule 14."
175957,787,927,"175954, Rule 14."
176016,640,741,"30893, Rule 14."
176017,670,778,"176016, Rule 14."
176018,700,815,"176017, Rule 14."
176023,670,778,"176016, Rule 14."
176024,670,778,"176016, Rule 14."
176196,719,823,"176195, Rule 14."
176197,749,860,"176196, Rule 14."
176198,749,860,"176196, Rule 14."
176199,719,823,"176195, Rule 14."
176202,719,823,"176201, Rule 14."
176203,749,860,"176202, Rule 14."
176208,719,823,"176207, Rule 14."
176209,719,823,"176207, Rule 14."
176211,719,823,"176210, Rule 14."
176212,719,823,"176210, Rule 14."
176290,719,823,"176289, Rule 14."
176291,719,823,"176289, Rule 14."
176293,719,823,"176292, Rule 14."
176296,719,823,"176295, Rule 14."
176298,749,860,"176296, Rule 14."
176299,749,860,"176296, Rule 14."
176301,719,823,"176300, Rule 14."
176302,749,860,"176301, Rule 14."
176303,749,860,"176301, Rule 14."
176304,749,860,"176301, Rule 14."
176305,719,823,"176300, Rule 14."
176306,749,860,"176305, Rule 14."
176307,719,823,"176300, Rule 14."
176310,719,823,"176309, Rule 14."
176312,719,823,"176311, Rule 14."
176313,719,823,"176311, Rule 14."
176323,858,959,"176322, Rule 14."
176324,858,959,"176322, Rule 14."
176325,888,996,"176324, Rule 14."
176326,918,1033,"176325, Rule 14."
176327,888,996,"176324, Rule 14."
176328,888,996,"176324, Rule 14."
176329,888,996,"176324, Rule 14."
176331,858,959,"176330, Rule 14."
176332,888,996,"176331, Rule 14."
176333,918,1033,"176332, Rule 14."
176334,918,1033,"176332, Rule 14."
176335,948,1070,"176334, Rule 14."
176336,948,1070,"176334, Rule 14."
176337,858,959,"176330, Rule 14."
176338,888,996,"176337, Rule 14."
176339,918,1033,"176338, Rule 14."
176340,888,996,"176337, Rule 14."
176341,858,959,"176330, Rule 14."
176342,888,996,"176341, Rule 14."
176343,918,1033,"176342, Rule 14."
176344,918,1033,"176342, Rule 14."
176345,918,1033,"176342, Rule 14."
176346,918,1033,"176342, Rule 14."
176347,888,996,"176341, Rule 14."
176348,918,1033,"176347, Rule 14."
176349,918,1033,"176347, Rule 14."
176350,918,1033,"176347, Rule 14."
176351,918,1033,"176347, Rule 14."
176352,918,1033,"176347, Rule 14."
176353,918,1033,"176347, Rule 14."
176356,858,959,"176355, Rule 14."
176357,888,996,"176356, Rule 14."
176358,918,1033,"176357, Rule 14."
176359,948,1070,"176358, Rule 14."
176360,948,1070,"176358, Rule 14."
176361,918,1033,"176357, Rule 14."
176362,948,1070,"176361, Rule 14."
176363,888,996,"176356, Rule 14."
176364,918,1033,"176363, Rule 14."
176365,948,1070,"176364, Rule 14."
176366,888,996,"176356, Rule 14."
176367,918,1033,"176366, Rule 14."
176368,948,1070,"176367, Rule 14."
176369,948,1070,"176367, Rule 14."
176370,918,1033,"176366, Rule 14."
176371,948,1070,"176370, Rule 14."
176372,948,1070,"176370, Rule 14."
176373,918,1033,"176366, Rule 14."
176374,948,1070,"176373, Rule 14."
176375,888,996,"176356, Rule 14."
176376,918,1033,"176375, Rule 14."
176377,948,1070,"176376, Rule 14."
176378,948,1070,"176376, Rule 14."
176379,918,1033,"176375, Rule 14."
176380,948,1070,"176379, Rule 14."
176381,888,996,"176356, Rule 14."
176382,918,1033,"176381, Rule 14."
176383,948,1070,"176382, Rule 14."
176384,918,1033,"176381, Rule 14."
176385,948,1070,"176384, Rule 14."
176386,948,1070,"176384, Rule 14."
176387,948,1070,"176384, Rule 14."
176388,948,1070,"176384, Rule 14."
176390,858,959,"176389, Rule 14."
176391,888,996,"176390, Rule 14."
176392,888,996,"176390, Rule 14."
176393,918,1033,"176392, Rule 14."
176394,948,1070,"176393, Rule 14."
176395,918,1033,"176392, Rule 14."
176396,948,1070,"176395, Rule 14."
176397,918,1033,"176392, Rule 14."
176398,888,996,"176390, Rule 14."
176399,918,1033,"176398, Rule 14."
176400,948,1070,"176399, Rule 14."
176401,918,1033,"176398, Rule 14."
176402,948,1070,"176401, Rule 14."
176403,918,1033,"176398, Rule 14."
176407,794,897,"176406, Rule 14."
176408,794,897,"176406, Rule 14."
176409,794,897,"176406, Rule 14."
179229,659,794,"31734, Rule 14."
179230,659,794,"31734, Rule 14."
179248,659,761,"179247, Rule 14."
179249,659,761,"179247, Rule 14."
179250,659,761,"179247, Rule 14."
179251,689,798,"179250, Rule 14."
179255,659,761,"179254, Rule 14."
179259,659,761,"179258, Rule 14."
179262,659,761,"179261, Rule 14."
179263,659,761,"179261, Rule 14."
179264,689,798,"179263, Rule 14."
176454,910,1010,"176453, Rule 14."
176455,940,1047,"176454, Rule 14."
176456,970,1084,"176455, Rule 14."
176457,970,1084,"176455, Rule 14."
176458,940,1047,"176454, Rule 14."
176459,970,1084,"176458, Rule 14."
176460,970,1084,"176458, Rule 14."
176462,940,1047,"93450, Rule 14."
176463,970,1084,"176462, Rule 14."
176464,970,1084,"176462, Rule 14."
176465,940,1047,"93450, Rule 14."
176466,970,1084,"176465, Rule 14."
176467,940,1047,"93450, Rule 14."
176468,970,1084,"176467, Rule 14."
176469,970,1084,"176467, Rule 14."
176470,910,1010,"176453, Rule 14."
176471,940,1047,"176470, Rule 14."
176472,970,1084,"176471, Rule 14."
176473,970,1084,"176471, Rule 14."
176474,970,1084,"176471, Rule 14."
176475,940,1047,"176470, Rule 14."
176476,970,1084,"176475, Rule 14."
176477,970,1084,"176475, Rule 14."
176478,940,1047,"176470, Rule 14."
176479,970,1084,"176478, Rule 14."
176480,940,1047,"176470, Rule 14."
176481,970,1084,"176480, Rule 14."
176482,970,1084,"176480, Rule 14."
176651,631,772,"176650, Rule 14."
176775,707,808,"176774, Rule 14."
176846,776,876,"176845, Rule 14."
176847,806,913,"176846, Rule 14."
176848,806,913,"176846, Rule 14."
176849,836,950,"176848, Rule 14."
176850,866,987,"176849, Rule 14."
176964,782,896,Rule 5.
176989,863,964,"176988, Rule 14."
177008,803,905,"177007, Rule 14."
177009,803,905,"177007, Rule 14."
177096,813,915,"177095, Rule 14."
177131,753,853,"177130, Rule 14."
177132,783,890,"177131, Rule 14."
177133,813,927,"177132, Rule 14."
177134,813,927,"177132, Rule 14."
177340,704,806,"145953, Rule 14."
177341,704,806,"145953, Rule 14."
177385,590,692,"177386, Rule 15."
177386,620,729,"177387, Rule 15."
177387,650,766,"32706, Rule 12."
177390,724,840,"33026, Rule 14."
177568,635,738,"177567, Rule 14."
177570,635,738,"177569, Rule 14."
177596,665,781,"31491, Rule 14."
177597,695,818,"177596, Rule 14."
177598,695,818,"177596, Rule 14."
177599,725,855,"177598, Rule 14."
177600,725,855,"177598, Rule 14."
177601,725,855,"177598, Rule 14."
177602,725,855,"177598, Rule 14."
177603,695,818,"177596, Rule 14."
177604,725,855,"177603, Rule 14."
177605,725,855,"177603, Rule 14."
177607,755,892,"31494, Rule 14."
177608,785,929,"177607, Rule 14."
177609,785,929,"177607, Rule 14."
177610,785,929,"177607, Rule 14."
177611,785,929,"177607, Rule 14."
177612,785,929,"177607, Rule 14."
177613,785,929,"177607, Rule 14."
177614,755,892,"31494, Rule 14."
177615,785,929,"177614, Rule 14."
177616,815,966,"177615, Rule 14."
177617,785,929,"177614, Rule 14."
177618,785,929,"177614, Rule 14."
177619,815,966,"177618, Rule 14."
177620,815,966,"177618, Rule 14."
177621,755,892,"31494, Rule 14."
177622,755,892,"31494, Rule 14."
177623,755,892,"31494, Rule 14."
177624,695,818,"177596, Rule 14."
177625,695,818,"177596, Rule 14."
177626,725,855,"177625, Rule 14."
177627,755,892,"177626, Rule 14."
177654,748,850,"91920, Rule 15."
177655,778,887,"177654, Rule 14."
177656,778,887,"177654, Rule 14."
177658,808,924,"91920, Rule 14."
177767,563,667,"32107, Rule 14."
177768,593,704,"177767, Rule 14."
177769,623,741,"177768, Rule 14."
177770,653,778,"177769, Rule 14."
177771,683,815,"177770, Rule 14."
177794,682,783,"177793, Rule 14."
177797,682,783,"177796, Rule 14."
177798,712,820,"177797, Rule 14."
177799,742,857,"177798, Rule 14."
177906,682,783,"177905, Rule 14."
177911,592,701,"153042, Rule 14."
177925,682,783,"177924, Rule 14."
177979,696,797,"177978, Rule 14."
177980,726,834,"177979, Rule 14."
178202,619,723,"178201, Rule 14."
178261,410,514,"178260, Rule 14."
178262,440,551,"178261, Rule 14."
178263,470,588,"178262, Rule 14."
178264,500,625,"178263, Rule 14."
178265,530,662,"178264, Rule 14."
178266,560,699,"178265, Rule 14."
178267,560,699,"178265, Rule 14."
178268,590,736,"178267, Rule 14."
178269,590,736,"178267, Rule 14."
178270,470,588,"178262, Rule 14."
178271,500,625,"178270, Rule 14."
178272,530,662,"178271, Rule 14."
178273,560,699,"178272, Rule 14."
178274,590,736,"178273, Rule 14."
